electricity,LBL_ION_01.34_309A,129,
electricity,LBL_ION_01.37_218A,129,
electricity,LBL_ION_02.54_70A1A,129,
electricity,LBL_ION_02.84_460A,129,
electricity,LBL_ION_02.88_65A,129,
electricity,LBL_ION_02.88_80A,129,
electricity,LBL_ION_02.88_198A,129,
electricity,LBL_ION_02.90_90A,129,
electricity,LBL_ION_02.50B_38A,129,
gas,LBL_ION_01.2_238A,10001,
gas,LBL_ION_02.90_90A,254,
water,LBL_ION_02.90_90A,255,
electricity,LBL_ION_04.77_72D,129,
electricity,LBL_ION_06.30_652A1A6A,129,
electricity,LBL_ION_07.59_MVSG_A704,129,
electricity,LBL_ION_07.59_MVSG_A705,129,
electricity,LBL_ION_07.59_MVSG_A706,129,
electricity,LBL_ION_07.59_MVSG_A707,129,
electricity,LBL_ION_07.59_MVSG_A709,129,
electricity,LBL_ION_07.59_MVSG_A722,129,
electricity,LBL_ION_07.59_MVSG_A724,129,
electricity,LBL_ION_07.59_MVSG_A726,129,
electricity,LBL_ION_07.59_MVSG_A727,129,
